,x,y,z,r_dist,r,uni,passes,residence_time,burnup
55,2.82927,-7.07317,32.0,32.89429285729973,2,u_fuel_pebble,3,88.0,26.4
56,8.4878,-7.07317,32.0,33.85369230510758,2,u_fuel_pebble,5,168.0,50.4
57,14.1463,-7.07317,32.0,35.69520328473981,2,u_fuel_pebble,3,88.0,26.4
58,19.8049,-7.07317,32.0,38.291824164681685,2,u_fuel_pebble,3,88.0,26.4
59,25.4634,-7.07317,32.0,41.50198156002795,2,u_fuel_pebble,3,88.0,26.4
60,-22.6341,-4.2439,32.0,39.42477862994287,2,u_fuel_pebble,3,88.0,26.4
61,-16.9756,-4.2439,32.0,36.47165587918926,2,u_fuel_pebble,4,128.0,38.4
62,-11.3171,-4.2439,32.0,34.20654088942639,2,u_fuel_pebble,2,48.0,14.399999999999999
63,-5.65854,-4.2439,32.0,32.7723932928555,2,u_fuel_pebble,4,128.0,38.4
64,0.0,-4.2439,32.0,32.28019032177475,2,u_fuel_pebble,2,48.0,14.399999999999999
65,5.65854,-4.2439,32.0,32.7723932928555,2,u_fuel_pebble,5,168.0,50.4
66,11.3171,-4.2439,32.0,34.20654088942639,2,u_fuel_pebble,5,168.0,50.4
67,16.9756,-4.2439,32.0,36.47165587918926,2,u_fuel_pebble,5,168.0,50.4
68,22.6341,-4.2439,32.0,39.42477862994287,2,u_fuel_pebble,3,88.0,26.4
69,-25.4634,-1.41463,32.0,40.91926096103032,2,u_fuel_pebble,3,88.0,26.4
70,-19.8049,-1.41463,32.0,37.659464176311644,2,u_fuel_pebble,2,48.0,14.399999999999999
71,-14.1463,-1.41463,32.0,35.01598180441182,2,u_fuel_pebble,5,168.0,50.4
72,-8.4878,-1.41463,32.0,33.1367458703612,2,u_fuel_pebble,2,48.0,14.399999999999999
73,-2.82927,-1.41463,32.0,32.1559628493659,2,u_fuel_pebble,4,128.0,38.4
74,2.82927,-1.41463,32.0,32.1559628493659,2,u_fuel_pebble,5,168.0,50.4
75,8.4878,-1.41463,32.0,33.1367458703612,2,u_fuel_pebble,3,88.0,26.4
76,14.1463,-1.41463,32.0,35.01598180441182,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
77,19.8049,-1.41463,32.0,37.659464176311644,2,u_fuel_pebble,3,88.0,26.4
78,25.4634,-1.41463,32.0,40.91926096103032,2,u_fuel_pebble,3,88.0,26.4
79,-22.6341,1.41463,32.0,39.221214423407396,2,u_fuel_pebble,2,48.0,14.399999999999999
80,-16.9756,1.41463,32.0,36.251512704946535,2,u_fuel_pebble,2,48.0,14.399999999999999
81,-11.3171,1.41463,32.0,33.97172251221448,2,u_fuel_pebble,5,168.0,50.4
82,-5.65854,1.41463,32.0,32.52722325942533,2,u_fuel_pebble,3,88.0,26.4
83,0.0,1.41463,32.0,32.03125314496609,2,u_fuel_pebble,3,88.0,26.4
84,5.65854,1.41463,32.0,32.52722325942533,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
85,11.3171,1.41463,32.0,33.97172251221448,2,u_fuel_pebble,3,88.0,26.4
86,16.9756,1.41463,32.0,36.251512704946535,2,u_fuel_pebble,4,128.0,38.4
87,22.6341,1.41463,32.0,39.221214423407396,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
88,-25.4634,4.2439,32.0,41.11441872105211,2,u_fuel_pebble,4,128.0,38.4
89,-19.8049,4.2439,32.0,37.871423939693635,2,u_fuel_pebble,5,168.0,50.4
90,-14.1463,4.2439,32.0,35.243843304895115,2,u_fuel_pebble,2,48.0,14.399999999999999
91,-8.4878,4.2439,32.0,33.37743902773249,2,u_fuel_pebble,2,48.0,14.399999999999999
92,-2.82927,4.2439,32.0,32.403941981538296,2,u_fuel_pebble,4,128.0,38.4
93,2.82927,4.2439,32.0,32.403941981538296,2,u_fuel_pebble,3,88.0,26.4
94,8.4878,4.2439,32.0,33.37743902773249,2,u_fuel_pebble,4,128.0,38.4
95,14.1463,4.2439,32.0,35.243843304895115,2,u_fuel_pebble,4,128.0,38.4
96,19.8049,4.2439,32.0,37.871423939693635,2,u_fuel_pebble,2,48.0,14.399999999999999
97,25.4634,4.2439,32.0,41.11441872105211,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
98,-22.6341,7.07317,32.0,39.8287862815188,2,u_fuel_pebble,3,88.0,26.4
99,-16.9756,7.07317,32.0,36.90800359283742,2,u_fuel_pebble,3,88.0,26.4
100,-11.3171,7.07317,32.0,34.671407330232505,2,u_fuel_pebble,2,48.0,14.399999999999999
101,-5.65854,7.07317,32.0,33.25731210997816,2,u_fuel_pebble,2,48.0,14.399999999999999
102,0.0,7.07317,32.0,32.77239286120103,2,u_fuel_pebble,4,128.0,38.4
103,5.65854,7.07317,32.0,33.25731210997816,2,u_fuel_pebble,3,88.0,26.4
104,11.3171,7.07317,32.0,34.671407330232505,2,u_fuel_pebble,4,128.0,38.4
105,16.9756,7.07317,32.0,36.90800359283742,2,u_fuel_pebble,4,128.0,38.4
106,22.6341,7.07317,32.0,39.8287862815188,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
107,-25.4634,9.90244,32.0,42.076633153255024,2,u_fuel_pebble,4,128.0,38.4
108,-19.8049,9.90244,32.0,38.91390987762088,2,u_fuel_pebble,4,128.0,38.4
109,-14.1463,9.90244,32.0,36.361739804959825,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
110,-8.4878,9.90244,32.0,34.55576748957546,2,u_fuel_pebble,2,48.0,14.399999999999999
111,-2.82927,9.90244,32.0,33.61641097271539,2,u_fuel_pebble,4,128.0,38.4
112,2.82927,9.90244,32.0,33.61641097271539,2,u_fuel_pebble,2,48.0,14.399999999999999
113,8.4878,9.90244,32.0,34.55576748957546,2,u_fuel_pebble,2,48.0,14.399999999999999
114,14.1463,9.90244,32.0,36.361739804959825,2,u_fuel_pebble,4,128.0,38.4
115,19.8049,9.90244,32.0,38.91390987762088,2,u_fuel_pebble,3,88.0,26.4
116,25.4634,9.90244,32.0,42.076633153255024,2,u_fuel_pebble,3,88.0,26.4
117,-22.6341,12.7317,32.0,41.21163267452528,2,u_fuel_pebble,5,168.0,50.4
118,-16.9756,12.7317,32.0,38.39618705353436,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
119,-11.3171,12.7317,32.0,36.25152324109982,2,u_fuel_pebble,4,128.0,38.4
120,-5.65854,12.7317,32.0,34.901507987787575,2,u_fuel_pebble,5,168.0,50.4
121,0.0,12.7317,32.0,34.43974716646451,2,u_fuel_pebble,3,88.0,26.4
122,5.65854,12.7317,32.0,34.901507987787575,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
123,11.3171,12.7317,32.0,36.25152324109982,2,u_fuel_pebble,4,128.0,38.4
124,16.9756,12.7317,32.0,38.39618705353436,2,u_fuel_pebble,3,88.0,26.4
125,22.6341,12.7317,32.0,41.21163267452528,2,u_fuel_pebble,3,88.0,26.4
126,-19.8049,15.561,32.0,40.72319713639881,2,u_fuel_pebble,4,128.0,38.4
127,-14.1463,15.561,32.0,38.29180754012534,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
128,-8.4878,15.561,32.0,36.5812447825385,2,u_fuel_pebble,5,168.0,50.4
129,-2.82927,15.561,32.0,35.695230630056166,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
130,2.82927,15.561,32.0,35.695230630056166,2,u_fuel_pebble,4,128.0,38.4
131,8.4878,15.561,32.0,36.5812447825385,2,u_fuel_pebble,3,88.0,26.4
132,14.1463,15.561,32.0,38.29180754012534,2,u_fuel_pebble,3,88.0,26.4
133,19.8049,15.561,32.0,40.72319713639881,2,u_fuel_pebble,5,168.0,50.4
134,-16.9756,18.3902,32.0,40.62475170877971,2,u_fuel_pebble,5,168.0,50.4
135,-11.3171,18.3902,32.0,38.604095747083626,2,u_fuel_pebble,4,128.0,38.4
136,-5.65854,18.3902,32.0,37.339235811296405,2,u_fuel_pebble,2,48.0,14.399999999999999
137,0.0,18.3902,32.0,36.907986344963334,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
138,5.65854,18.3902,32.0,37.339235811296405,2,u_fuel_pebble,2,48.0,14.399999999999999
139,11.3171,18.3902,32.0,38.604095747083626,2,u_fuel_pebble,5,168.0,50.4
140,16.9756,18.3902,32.0,40.62475170877971,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
141,-14.1463,21.2195,32.0,40.91924955250279,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
